file	verdict
body-bold-10.png	reads
body-bold-14.png	reads
body-bold-20.png	reads
body-bold-6.png	reads
body-bold-8.png	reads
body-large-10.png	reads
body-large-14.png	reads
body-large-20.png	reads
body-large-6.png	reads
body-large-8.png	reads
body-large-pile-10.png	reads
body-large-pile-14.png	reads
body-large-pile-20.png	reads
body-large-pile-6.png	reads
body-large-pile-8.png	reads
body-mid-10.png	reads
body-mid-14.png	reads
body-mid-20.png	reads
body-mid-6.png	reads
body-mid-8.png	reads
abdomen-bold-10.png	reads
abdomen-bold-20.png	reads
abdomen-bold-6.png	reads
abdomen-small-10.png	reads
abdomen-small-20.png	reads
abdomen-small-6.png	reads
bold-10.png	not found
bold-14.png	not found
bold-20.png	not found
bold-6.png	reads
bold-8.png	not found
dense-10.png	reads
dense-14.png	reads
dense-20.png	reads
dense-6.png	reads
dense-8.png	reads
grid-10.png	reads
grid-14.png	reads
grid-20.png	reads
grid-6.png	reads
grid-8.png	reads
swarm-10.png	reads
swarm-14.png	reads
swarm-20.png	reads
swarm-6.png	reads
swarm-8.png	reads
